ship,fandom,genre,relType,isCanon,isRPF,totalWorks
707 | Choi Luciel/Main Character,Mystic Messenger,Video Game,F/M,Yes,No,1872
707 | Choi Luciel/Reader,Mystic Messenger,Video Game,XReader,No,XReader,1022
Aang & Zuko,Avatar: The Last Airbender,Science Fiction,Gen,Yes,No,1204
Aang/Katara,Avatar: The Last Airbender,Science Fiction,F/M,Yes,No,4533
Aaron Burr/Alexander Hamilton,Hamilton – Miranda,Historical,M/M,No,No,1480
Aaron Dingle/Robert Sugden,Emmerdale,Slice of Life,M/M,Yes,No,6194
Aaron Hotchner/Emily Prentiss,Criminal Minds,Crime,F/M,No,No,2328
Aaron Hotchner/Reader,Criminal Minds,Crime,XReader,No,XReader,1408
Aaron Hotchner/Spencer Reid,Criminal Minds,Crime,M/M,No,No,3556
Aaron Livesy/Robert Sugden,Emmerdale,Slice of Life,M/M,Yes,No,3587
Abarai Renji/Kuchiki Byakuya,Bleach,Fantasy,M/M,No,No,1183
Abby Griffin/Marcus Kane,The 101,Science Fiction,F/M,Yes,No,1982
Abe Ryouhei/Sakuma Daisuke,Japanese RFP,Celebrity RPF,M/M,No,Yes,1235
Ace/Nancy Drew,Nancy Drew,Crime,F/M,Yes,No,1088
Achilles/Patroclus,Greek Myth,Fantasy,M/M,Yes,No,3214
Adachi Kiyoshi/Kurosawa Yuichi,Cherry Magic,Romance,M/M,No,No,1184
Adam Faulkner-Stanheight/Lawrence Gordon,Saw,Thriller,M/M,No,No,1429
Adam Lambert/Kris Allen,American Idol RPF,Western Artist,M/M,No,Yes,3264
Adam Lambert/Tommy Ratliff,Adam Lambert (Musician),Western Artist,M/M,Semi-Canon,Yes,4144
Adam/Shiro,Voltron: Legendary Defender,Fantasy,M/M,Yes,No,3694
Adora & Catra,She-Ra and the Princesses of Power (2018),Fantasy,Gen,Yes,No,2980
Adora/Catra,She-Ra and the Princesses of Power (2018),Fantasy,F/F,Yes,No,11360
Adora/Glimmer,She-Ra and the Princesses of Power (2018),Fantasy,F/F,No,No,1140
Adrien Agreste | Chat Noir & Marinette Dupain-Cheng | Ladybug,Miraculous Ladybug,Superhero,Gen,Yes,No,41251
Adrien Agreste | Chat Noir & NiNo Lahiffe,Miraculous Ladybug,Superhero,Gen,Yes,No,1245
Adrien Agreste | Chat Noir & Plagg,Miraculous Ladybug,Superhero,Gen,Yes,No,1213
Adrien Agreste | Chat Noir/Kagami Tsurugi,Miraculous Ladybug,Superhero,F/M,Yes,No,1158
Adrien Agreste | Chat Noir/Luka Couffaine,Miraculous Ladybug,Superhero,M/M,No,No,1175
Adrien Agreste | Chat Noir/Marinette Dupain-Cheng | Ladybug,Miraculous Ladybug,Superhero,F/M,Yes,No,"35,090"
Aelin Ashryver Galathynius | Celaena Sardothien/Rowan Whitethorn,Throne of Glass,Fantasy,F/M,Yes,No,1159
"Aemond ""One-Eye"" Targaryen/Lucerys Velaryon",Game of Thrones,Fantasy,M/M,No,No,4264
"Aemond ""One-Eye"" Targaryen/Original Character(s)",Game of Thrones,Fantasy,Original,No,No,2003
"Aemond ""One-Eye"" Targaryen/Original Female Character(s)",Game of Thrones,Fantasy,F/M,No,No,1811
Aerith Gainsborough/Cloud Strife,Final Fantasy VII,Video Game,F/M,Semi-Canon,No,1247
Aesop Carl | Embalmer/Joseph Desaulnier | Photographer,Identity V,Video Game,M/M,No,No,1331
Agatsuma Zenitsu/Kamado Tanjirou,Demon Slayer: Kimetsu NoYaiba,Fantasy,M/M,No,No,1626
Agent 3/Agent 8,Splatoon,Video Game,Other,No,No,1104
Agron/Nasir,Spartacus Series (TV),Historical,M/M,Yes,No,1734
Agustín Madrigal/Julieta Madrigal,Encanto,Fantasy,F/M,Yes,No,2668
Aiden/Lambert,The Witcher (TV),Fantasy,M/M,No,No,1641
Aizawa Shouta | Eraserhead & Bakugou Katsuki,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,1905
Aizawa Shouta | Eraserhead & Class 1-A,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,2514
Aizawa Shouta | Eraserhead & Eri,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,1503
Aizawa Shouta | Eraserhead & Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,12965
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,4224
Aizawa Shouta | Eraserhead & Todoroki Shouto,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,1069
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,2625
Aizawa Shouta | Eraserhead/Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,1345
Aizawa Shouta | Eraserhead/Original Character(s),Boku NoHero Academia | My Hero Academia,Superhero,Original,No,No,1225
Aizawa Shouta | Eraserhead/Original Female Character(s),Boku NoHero Academia | My Hero Academia,Superhero,F/M,No,No,1037
Aizawa Shouta | Eraserhead/Reader,Boku NoHero Academia | My Hero Academia,Superhero,XReader,No,XReader,2761
Aizawa Shouta | Eraserhead/Yagi Toshinori | All Might,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,2891
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,22545
Akaashi Keiji & Bokuto Koutarou,Haikyuu!!,Sports,Gen,Yes,No,1731
Akaashi Keiji/Bokuto Koutarou,Haikyuu!!,Sports,M/M,No,No,16933
Akaashi Keiji/Kuroo Tetsurou,Haikyuu!!,Sports,M/M,No,No,1344
Akaashi Keiji/Miya Osamu,Haikyuu!!,Sports,M/M,No,No,1076
Akabane Karma/Shiota Nagisa,Assassination Classroom,Science Fiction,M/M,No,No,1293
Akai Shuuichi | Okiya Subaru/Amuro Tooru | Furuya Rei,Detective Conan,Crime,M/M,No,No,1510
Akamatsu Kaede/Saihara Shuichi,Danganronpa V3: Killing Harmony,Video Game,F/M,Yes,No,1657
Akashi Seijuurou/Furihata Kouki,Kuroko NoBasuke | Kuroko's Basketball,Sports,M/M,No,No,1426
Akashi Seijuurou/Kuroko Tetsuya,Kuroko NoBasuke | Kuroko's Basketball,Sports,M/M,No,No,2243
Akaza | Hakuji/Rengoku Kyoujurou,Demon Slayer: Kimetsu NoYaiba,Fantasy,M/M,No,No,1451
Akechi Goro & Persona 5 Protagonist,Persona,Video Game,Gen,Yes,No,1285
Akechi Goro/Amamiya Ren,Persona,Video Game,M/M,No,No,5263
Akechi Goro/Kurusu Akira,Persona,Video Game,M/M,No,No,8464
Akechi Goro/Persona 5 Protagonist,Persona,Video Game,M/M,No,No,10196
Akemi Homura/Kaname Madoka,Puella Magi Madoka Magica,Fantasy,F/F,No,No,1298
Akiyama Mizuki/Shinonome Ena,Project SEKAI,Video Game,Other,No,No,2083
Akutagawa Ryuunosuke & Dazai Osamu,Bungou Stray Dogs,Fantasy,Gen,Yes,No,1003
Akutagawa Ryuunosuke & Nakajima Atsushi,Bungou Stray Dogs,Fantasy,Gen,Yes,No,1567
Akutagawa Ryuunosuke/Dazai Osamu,Bungou Stray Dogs,Fantasy,M/M,No,No,1014
Akutagawa Ryuunosuke/Nakajima Atsushi,Bungou Stray Dogs,Fantasy,M/M,No,No,8631
Alana Bloom/Margot Verger,Hannibal,Thriller,F/F,Yes,No,1015
Alastor & Charlie Magne | Morningstar,Hazbin Hotel,Fantasy,Gen,Yes,No,1273
Alastor/Angel Dust,Hazbin Hotel,Fantasy,M/M,Semi-Canon,No,2463
Alastor/Charlie Magne | Morningstar,Hazbin Hotel,Fantasy,F/M,No,No,1237
Alastor/Lucifer Magne | Morningstar,Hazbin Hotel,Fantasy,M/M,No,No,3696
Alastor/Original Character(s),Hazbin Hotel,Fantasy,Original,No,No,1088
Alastor/Reader,Hazbin Hotel,Fantasy,XReader,No,XReader,1500
Alastor/Vox,Hazbin Hotel,Fantasy,M/M,No,No,2248
Alastor/You,Hazbin Hotel,Fantasy,XReader,No,XReader,1511
Albedo/Kaeya,Genshin Impact,Video Game,M/M,No,No,4403
Albedo/Kong | Aether,Genshin Impact,Video Game,M/M,No,No,1615
Albedo/Reader,Genshin Impact,Video Game,XReader,No,XReader,1091
Albedo/Traveler,Genshin Impact,Video Game,Other,No,No,2268
Albus Dumbledore/Gellert Grindelwald,Harry Potter - J. K. Rowling,Fantasy,M/M,Yes,No,5050
Alcina Dimitrescu/Reader,Resident Evil,Video Game,XReader,No,XReader,1550
Alcina Dimitrescu/You,Resident Evil,Video Game,XReader,No,XReader,1558
Alec Hardison/Parker/Eliot Spencer,Leverage,Thriller,Multi,No,No,2337
Alec Lightwood & Isabelle Lightwood,Shadowhunters (TV),Science Fiction,Gen,Yes,No,1108
Alec Lightwood & Jace Wayland,Shadowhunters (TV),Science Fiction,Gen,Yes,No,1536
Alec Lightwood/Jace Wayland,Shadowhunters (TV),Science Fiction,M/M,No,No,1740
Alex | S Tier & Morgan | D Tier,S & D Tier,Slice of Life,Gen,Yes,No,1052
Alex | S Tier/Morgan | D Tier,S & D Tier,Slice of Life,Other,Yes,No,2230
Alex Claremont-Diaz/Henry Fox-Mountchristen-Windsor,Red White and Royal Blue,Romance,M/M,Yes,No,10055
Alex Danvers & Kara Danvers,Supergirl (TV 2015),Superhero,Gen,Yes,No,2946
Alex Danvers/Kara Danvers,Supergirl (TV 2015),Superhero,F/F,No,No,1363
Alex Danvers/Kelly Olsen,Supergirl (TV 2015),Superhero,F/F,Yes,No,1542
Alex Danvers/Maggie Sawyer,Supergirl (TV 2015),Superhero,F/F,Yes,No,6134
Alex Krycek/Fox Mulder,The X-Files,Science Fiction,F/M,No,No,1904
Alex Mercer & Julie Molina & Luke Patterson & Reggie Peters,Julie and the Phantoms,Slice of Life,Gen,Yes,No,1048
Alex Mercer/Willie,Julie and the Phantoms,Slice of Life,M/M,Semi-Canon,No,2653
"Alexander Hamilton/Elizabeth ""Eliza"" Schuyler",Hamilton – Miranda,Historical,F/M,Yes,No,3388
Alexander Hamilton/John Laurens,Hamilton – Miranda,Historical,M/M,No,No,6835
Alexander Hamilton/Thomas Jefferson,Hamilton – Miranda,Historical,M/M,No,No,2822
Alexis | Quackity & Karl Jacobs & Sapnap,Youtube RPF,Youtube RPF,Gen,Yes,Yes,1642
Alexis | Quackity & TommyInnit,Youtube RPF,Youtube RPF,Gen,Yes,Yes,1262
Alexis | Quackity & Wilbur Soot,Youtube RPF,Youtube RPF,Gen,Yes,Yes,1855
Alexis | Quackity/Jschlatt,Youtube RPF,Youtube RPF,M/M,No,Yes,1790
Alexis | Quackity/Karl Jacobs/Sapnap,Youtube RPF,Youtube RPF,Multi,No,Yes,4609
Alexis | Quackity/Wilbur Soot,Youtube RPF,Youtube RPF,M/M,No,Yes,3632
"Alexsandr Kallus/Garazeb ""Zeb"" Orrelios",Star Wars,Science Fiction,M/M,No,No,1607
Alfred Pennyworth & Bruce Wayne,Batman - All Media Types,Superhero,Gen,Yes,No,2313
Alfred Pennyworth & Jason Todd,Batman - All Media Types,Superhero,Gen,Yes,No,1261
Alhaitham & Kaveh,Genshin Impact,Video Game,Gen,Yes,No,3221
Alhaitham/Cyno,Genshin Impact,Video Game,M/M,No,No,1489
Alhaitham/Kaveh,Genshin Impact,Video Game,M/M,No,No,11890
Alice Cullen/Jasper Hale,Twilight Series - Stephenie Meyer,Romance,F/M,Yes,No,2239
Alice Longbottom/Frank Longbottom,Harry Potter - J. K. Rowling,Fantasy,F/M,Yes,No,1916
Alicent Hightower/Rhaenyra Targaryen,Game of Thrones,Fantasy,F/F,No,No,2344
Alicent Hightower/Viserys I Targaryen,Game of Thrones,Fantasy,F/M,Yes,No,1429
Alistair/Cousland,Dragon Age,Video Game,Other,Semi-Canon,No,2144
Alistair/Female Cousland,Dragon Age: Origins,Video Game,F/M,Semi-Canon,No,1878
Alistair/Female Warden,Dragon Age: Origins,Video Game,F/M,Semi-Canon,No,4381
Alistair/Warden,Dragon Age: Origins,Video Game,Other,Semi-Canon,No,5153
Allison Argent/Isaac Lahey,Teen Wolf,Fantasy,F/M,Yes,No,1204
Allison Argent/Lydia Martin,Teen Wolf,Fantasy,F/F,Yes,No,1885
Allison Argent/Scott McCall,Teen Wolf,Fantasy,F/M,Yes,No,7908
Allison Reynolds/Renee Walker,All For The Game - Nora Sakavic,Sports,F/F,No,No,1047
Allura & Coran & Hunk & Keith & Lance & Pidge | Katie Holt & Shiro,Voltron: Legendary Defender,Fantasy,Gen,Yes,No,1296
Allura/Lance,Voltron: Legendary Defender,Fantasy,F/M,Yes,No,1783
Allura/Lotor,Voltron: Legendary Defender,Fantasy,F/M,Yes,No,1452
Allura/Shiro,Voltron: Legendary Defender,Fantasy,F/M,No,No,3601
Alphonse Elric & Edward Elric,Fullmetal Alchemist,Fantasy,Gen,Yes,No,1655
Alphys/Undyne,Undertale,Video Game,F/F,Yes,No,4583
Alya Césaire & Marinette Dupain-Cheng | Ladybug,Miraculous Ladybug,Superhero,Gen,Yes,No,2247
Alya Césaire/NiNo Lahiffe,Miraculous Ladybug,Superhero,F/M,Yes,No,7163
Amajiki Tamaki/Toogata Mirio,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,1952
Amamiya Ren/Niijima Makoto,Persona,Video Game,F/M,Semi-Canon,No,1385
Amanda Grayson/Sarek,Star Trek,Science Fiction,F/M,Yes,No,1239
Amber/Eula,Genshin Impact,Video Game,F/F,No,No,1049
America/England,Hetalia: Axis Powers,Historical,M/M,No,No,7610
America/Russia,Hetalia: Axis Powers,Historical,M/M,No,No,3493
Amity Blight & Luz Noceda,The Owl House,Fantasy,Gen,Yes,No,1047
Amity Blight/Luz Noceda,The Owl House,Fantasy,F/F,Yes,No,12391
Amy Pond/Rory Williams,Doctor Who,Science Fiction,F/M,Yes,No,2833
Amy Rose/Sonic the Hedgehog,Sonic the Hedgehog,Video Game,F/M,Yes,No,1419
Anakin Skywalker & Ahsoka Tano,Star Wars,Science Fiction,Gen,Yes,No,4872
Anakin Skywalker | Darth Vader & Luke Skywalker,Star Wars,Science Fiction,Gen,Yes,No,2952
Anathema Device/Newton Pulsifer,Good Omens,Fantasy,F/M,Yes,No,1674
Anders/Female Hawke,Dragon Age II,Video Game,F/M,Semi-Canon,No,1865
Anders/Female Mage Hawke,Dragon Age II,Video Game,F/M,Semi-Canon,No,1329
Anders/Fenris,Dragon Age II,Video Game,M/M,No,No,1988
Anders/Hawke,Dragon Age II,Video Game,Other,Semi-Canon,No,4421
Anders/Male Hawke,Dragon Age II,Video Game,M/M,Semi-Canon,No,2256
Andromeda Black Tonks/Ted Tonks,Harry Potter - J. K. Rowling,Fantasy,F/M,Yes,No,1795
Andy | Andromache of Scythia/Quynh | Noriko,The Old Guard,Superhero,F/F,Yes,No,1302
Angel Devil/Hayakawa Aki,Chainsaw Man,Fantasy,M/M,No,No,1181
Angel Dust & Husk,Hazbin Hotel,Fantasy,Gen,Yes,No,1187
Angel Dust/Husk,Hazbin Hotel,Fantasy,M/M,Semi-Canon,No,5367
Angel/Buffy Summers,Buffy the Vampire Slayer,Fantasy,F/M,Yes,No,2417
Angel/Spike,Buffy the Vampire Slayer,Fantasy,M/M,No,No,1243
Angelina Johnson/George Weasley,Harry Potter - J. K. Rowling,Fantasy,F/M,Yes,No,1385
Anmicius/Lei Shi | Ray,Aotu World,Video Game,M/M,No,No,1402
Anna & Elsa,Frozen,Fantasy,Gen,Yes,No,1654
Anna/Elsa,Frozen,Fantasy,F/F,No,No,2622
Anna/Kristoff,Frozen,Fantasy,F/M,Yes,No,2545
Annabeth Chase & Percy Jackson,Percy Jackson and the Olympians - Rick Riordan,Fantasy,Gen,Yes,No,1812
Annabeth Chase/Percy Jackson,Percy Jackson and the Olympians - Rick Riordan,Fantasy,F/M,Yes,No,14172
Anne Boonchuy & Sasha Waybright & Marcy Wu,Amphibia (Cartoon),Fantasy,Gen,No,No,1065
Anne Boonchuy/Marcy Wu,Amphibia (Cartoon),Fantasy,F/F,No,No,1738
Anne Boonchuy/Sasha Waybright,Amphibia (Cartoon),Fantasy,F/F,No,No,1558
Anne Boonchuy/Sasha Waybright/Marcy Wu,Amphibia (Cartoon),Fantasy,Multi,No,No,2093
Annette Fantine Dominic/Felix Hugo Fraldarius,Fire Emblem,Video Game,F/M,Yes,No,1647
Annie Cresta/Finnick Odair,Hunger Games Trilogy - Suzanne Collins,Science Fiction,F/M,Yes,No,1816
Annie Edison/Jeff Winger,Community,Slice of Life,F/M,Yes,No,1654
Anthony Bridgerton/Kate Sheffield | Kate Sharma,Bridgerton,Historical,F/M,Yes,No,3941
Anthony DiNozzo/Jethro Gibbs,NCIS,Crime,M/M,No,No,4177
Anxiety | Virgil & Creativity | Roman & Logic | Logan & Morality | Patton,Sanders Sides,Slice of Life,Gen,Yes,No,1031
"Anxiety | Virgil Sanders & Creativity | Roman ""Princey"" Sanders",Sanders Sides,Slice of Life,Gen,Yes,No,1762
Anxiety | Virgil Sanders & Deceit | Janus Sanders,Sanders Sides,Slice of Life,Gen,Yes,No,1239
Anxiety | Virgil Sanders & Logic | Logan Sanders,Sanders Sides,Slice of Life,Gen,Yes,No,1399
Anxiety | Virgil Sanders & Morality | Patton Sanders,Sanders Sides,Slice of Life,Gen,Yes,No,1543
"Anxiety | Virgil Sanders/Creativity | Roman ""Princey"" Sanders",Sanders Sides,Slice of Life,M/M,No,No,5389
Anxiety | Virgil Sanders/Deceit | Janus Sanders,Sanders Sides,Slice of Life,M/M,No,No,1198
Anxiety | Virgil Sanders/Logic | Logan Sanders,Sanders Sides,Slice of Life,M/M,No,No,2905
Anxiety | Virgil Sanders/Morality | Patton Sanders,Sanders Sides,Slice of Life,M/M,No,No,1582
Anxiety | Virgil/Creativity | Roman/Logic | Logan/Morality | Patton,Sanders Sides,Slice of Life,Multi,No,No,1717
Anya Forger & Loid Forger | Twilight & Yor Briar Forger | Thorn Princess,SPY x Family,Crime,Gen,Yes,No,1112
Anya/Raven Reyes,The 101,Science Fiction,F/F,No,No,1346
Áo Bíng | East Sea Third Prince/Nézhā | Third Lotus Prince,LEGO Monkie Kid,Fantasy,M/M,No,No,1286
Aohitsugi Samatoki/Yamada Ichiro,Hypnosis Mic,Video Game,M/M,No,No,1140
Aomine Daiki/Kagami Taiga,Kuroko NoBasuke | Kuroko's Basketball,Sports,M/M,No,No,2714
Aomine Daiki/Kise Ryouta,Kuroko NoBasuke | Kuroko's Basketball,Sports,M/M,No,No,2393
Aomine Daiki/Kuroko Tetsuya,Kuroko NoBasuke | Kuroko's Basketball,Sports,M/M,No,No,1282
Aonung/Neteyam te Suli Tsyeyk'itan,Avatar (Cameron Movies),Fantasy,M/M,No,No,1157
Aoyagi Touya/Shinonome Akito,Project SEKAI,Video Game,M/M,No,No,3734
Apollo/Percy Jackson,Percy Jackson and the Olympians - Rick Riordan,Fantasy,M/M,No,No,1114
Apprentice/Asra,The Arcana,Fantasy,Other,Yes,No,1097
Apprentice/Julian Devorak,The Arcana,Fantasy,Other,Yes,No,1400
Aragorn | Estel/Arwen Undómiel,Lord of the Rings,Fantasy,F/M,Yes,No,1518
Aragorn | Estel/Legolas Greenleaf,Lord of the Rings,Fantasy,M/M,No,No,1528
Aragorn/Arwen Undómiel,Lord of the Rings,Fantasy,F/M,Yes,No,1578
Aragorn/Legolas Greenleaf,Lord of the Rings,Fantasy,M/M,No,No,1906
Arataki Itto/Gorou,Genshin Impact,Video Game,M/M,No,No,1021
Archie Andrews/Betty Cooper,Riverdale (TV 2017),Crime,F/M,Yes,No,1034
Archie Andrews/Jughead Jones,Riverdale (TV 2017),Crime,M/M,No,No,1006
Archie Andrews/Veronica Lodge,Riverdale (TV 2017),Crime,F/M,Yes,No,1823
Armand/Daniel Molloy,Riverdale (TV 2017),Crime,M/M,No,No,1727
Armin Arlert & Eren Yeager,Shingeki NoKyojin | Attack on Titan,Fantasy,Gen,Yes,No,1047
Armin Arlert/Annie Leonhart,Shingeki NoKyojin | Attack on Titan,Fantasy,F/M,Yes,No,2460
Armin Arlert/Eren Yeager,Shingeki NoKyojin | Attack on Titan,Fantasy,M/M,No,No,3833
Armin Arlert/Jean Kirstein,Shingeki NoKyojin | Attack on Titan,Fantasy,M/M,No,No,2113
Armin Arlert/Reader,Shingeki NoKyojin | Attack on Titan,Fantasy,XReader,No,XReader,1008
Armitage Hux/Ben Solo | Kylo Ren,Star Wars Episode VII: The Force Awakens (2015),Science Fiction,M/M,No,No,14664
Armitage Hux/Rose Tico,Star Wars Sequel Trilogy,Science Fiction,F/M,No,No,1404
Arseny Popov/Anton Shastun,Russian RPF,Celebrity RPF,M/M,No,Yes,1257
Artemis Crock/Wally West,Flash (DC comics),Superhero,F/M,Yes,No,1531
Artemiy Burakh | Artemy Burakh/Daniel Dankovskiy | Daniil Dankovsky,Pathologic,Video Game,M/M,No,No,1061
Arthur Morgan/Charles Smith,Red Dead Redemption,Video Game,M/M,No,No,1279
Arthur Morgan/Reader,Red Dead Redemption,Video Game,XReader,No,XReader,1904
Arthur Morgan/You,Red Dead Redemption,Video Game,XReader,No,XReader,1910
Arthur Weasley/Molly Weasley,Harry Potter - J. K. Rowling,Fantasy,F/M,Yes,No,2521
Arthur/Eames,Inception (2010),Science Fiction,M/M,No,No,7772
Arya Stark/Gendry Waters,A Song of Ice and Fire - George R. R. Martin,Fantasy,F/M,Yes,No,5830
Asagiri Gen/Ishigami Senkuu,Dr. STONE,Science Fiction,M/M,No,No,1912
Asahina Mafuyu/Yoisaki Kanade,Project SEKAI,Video Game,F/F,No,No,1284
Asami Ryuichi/Takaba Akihito,Dr. STONE,Science Fiction,M/M,Yes,No,1707
Asgore Dreemurr/Toriel,Undertale,Video Game,F/M,Yes,No,1508
Ash Lynx & Okumura Eiji,Banana Fish,Crime,Gen,Yes,No,1079
Ash Lynx/Okumura Eiji,Banana Fish,Crime,M/M,Yes,No,4183
Ashido Mina & Bakugou Katsuki & Kaminari Denki & Kirishima Eijirou & Sero Hanta,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,2820
Ashido Mina/Kirishima Eijirou,Boku NoHero Academia | My Hero Academia,Superhero,F/M,Yes,No,3616
Ashido Mina/Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,F/M,No,No,1153
Ashido Mina/Sero Hanta,Boku NoHero Academia | My Hero Academia,Superhero,F/M,No,No,1061
Ashlyn Harris/Ali Krieger,NWSL RPF,Sports RPF,F/F,Yes,Yes,1075
Asmodeus | Ozzie/FizzaRolli,Hellua Boss,Thriller,M/M,Yes,No,1678
Asmodeus/Reader,Helluva Boss,Thriller,XReader,No,XReader,1166
Asougi Kazuma/Naruhodou Ryuunosuke,The Great Ace Attorney,Video Game,M/M,No,No,1401
Astarion & Tav,Baldur's Gate 3,Video Game,Gen,Yes,No,1180
Astarion/Gale,Baldur's Gate 3,Video Game,M/M,Semi-Canon,No,2288
Astarion/Original Character(s),Baldur's Gate 3,Video Game,Original,No,No,6036
Astarion/Original Female Character(s),Baldur's Gate 3,Video Game,F/M,No,No,3893
Astarion/Original Male Character(s),Baldur's Gate 3,Video Game,M/M,No,No,1753
Astarion/Reader,Baldur's Gate 3,Video Game,XReader,No,XReader,2181
Astarion/Tav,Baldur's Gate 3,Video Game,Other,Yes,No,8752
Astarion/The Dark Urge,Baldur's Gate 3,Video Game,Other,Semi-Canon,No,2087
Astoria Greengrass/Draco Malfoy,Harry Potter - J. K. Rowling,Fantasy,F/M,Yes,No,3512
Astra/Alex Danvers,Supergirl (TV 2015),Superhero,F/F,No,No,1350
Asui Tsuyu/Uraraka Ochako,Boku NoHero Academia | My Hero Academia,Superhero,F/F,No,No,3200
Atem/Mutou Yuugi,Yu-Gi-Oh!,Video Game,M/M,No,No,1899
Athena Grant/Bobby Nash,9-1-2001,Crime,F/M,Yes,No,2555
Aubrey & Basil & Hero & Kel & Sunny,OMORI,Video Game,Gen,Yes,No,1031
Aubrey/Sunny,OMORI,Video Game,F/M,No,No,1687
Aunt May Parker & Peter Parker,Spider-Man - All Media Types,Superhero,Gen,Yes,No,4960
Avengers Team & Peter Parker,The Avengers (Marvel Movies),Superhero,Gen,Yes,No,2896
Avengers Team Members & Peter Parker,Marvel Cinematic Universe,Superhero,Gen,Yes,No,3275
Avengers Team Members & Tony Stark,Marvel Cinematic Universe,Superhero,Gen,Yes,No,2704
Aventurine/Dr. Ratio,Honkai: Star Rail,Video Game,M/M,No,No,2879
Axel/Roxas,Kingdom Hearts,Video Game,M/M,No,No,1984
Ayanga/Zhèng Yúnlóng,Super-Vocal (TV),Celebrity RPF,M/M,No,Yes,6411
Ayasato Mayoi | Maya Fey/Karuma Mei | Franziska von Karma,The Ace Attorney,Video Game,F/F,No,No,1171
Aymeric de Borel/Estinien Wyrmblood,Final Fantasy XIV,Video Game,M/M,No,No,1178
Aymeric de Borel/Warrior of Light,Final Fantasy XIV,Video Game,Other,No,No,1408
Azem/Emet-Selch,Final Fantasy XIV,Video Game,Other,No,No,1105
Aziraphale & Crowley,Good Omens,Fantasy,Gen,Yes,No,17366
Aziraphale/Crowley,Good Omens,Fantasy,Other,Semi-Canon,No,59570
Azriel/Gwyneth Berdara,A Court of Thorns and Roses Series - Sarah J. Maas,Fantasy,F/M,No,No,1161
Azula & Zuko,Avatar: The Last Airbender,Science Fiction,Gen,Yes,No,2210
Azula/Ty Lee,Avatar: The Last Airbender,Science Fiction,F/F,No,No,1608
Azumane Asahi/Nishinoya Yuu,Haikyuu!!,Sports,M/M,No,No,4673
Azusawa Kohane/Shiraishi An,Project SEKAI,Video Game,F/F,No,No,1593
Baam | Jyu Viole Grace & Khun Aguero Agnis,Tower of God,Fantasy,Gen,Yes,No,1014
Baam | Jyu Viole Grace/Khun Aguero Agnis,Tower of God,Fantasy,M/M,No,No,2869
Bachira Meguru/Isagi Yoichi,Blue Lock,Sports,M/M,No,No,1278
Bae Joohyun | Irene/Kang Seulgi,Red Velvet,K-Pop,F/F,No,Yes,1119
Baelfire | Neal Cassidy/Emma Swan,Once Upon a Time (TV),Fantasy,F/M,Yes,No,1250
Bai Yu/Zhu Yilong,Chinese Actor RPF,Celebrity RPF,M/M,No,Yes,1979
Baji Keisuke/MatsuNoChifuyu,Tokyo Revengers,Science Fiction,M/M,No,No,1813
Bakugou Katsuki & Class 1-A,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,1404
Bakugou Katsuki & Kaminari Denki,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,1111
Bakugou Katsuki & Kirishima Eijirou,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,5836
Bakugou Katsuki & Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,17935
Bakugou Katsuki & Todoroki Shouto,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,2553
Bakugou Katsuki & Uraraka Ochako,Boku NoHero Academia | My Hero Academia,Superhero,Gen,No,No,1759
Bakugou Katsuki/Kaminari Denki,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,1945
Bakugou Katsuki/Kirishima Eijirou,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,30298
Bakugou Katsuki/Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,M/M,No,No,42852
Bakugou Katsuki/Midoriya Izuku/Todoroki Shouto,Boku NoHero Academia | My Hero Academia,Superhero,Multi,No,No,2585
Bakugou Katsuki/Original Character(s),Boku NoHero Academia | My Hero Academia,Superhero,Original,No,No,2482
Bakugou Katsuki/Original Female Character(s),Boku NoHero Academia | My Hero Academia,Superhero,F/M,No,No,1739
